variables,word_level_mono+multi,line_level_mono,line_level_mono+multi,line_level_multi,word_level_multi,word_level_mono
"baseline+emb_cos_sim,family,script,script_lr",0.0040838103090474,0.006242545612745,0.0051738296158463,0.005053402806441,0.0038413664903056,0.0059656526495726
"baseline+emb_cos_sim,family,script,script_lr,training_script_lr",0.004043817718722,0.0061997736519607,0.005256715337635,0.0049242332615839,0.0038290894577719,0.0059028527777777
"baseline+emb_cos_sim,family,script",0.0041122645371752,0.006274970245098,0.0053384906557623,0.0050708019273743,0.0038521415971081,0.0061066998290598
"baseline+emb_cos_sim,family,script,training_script_lr",0.0041221184010152,0.0062934950245098,0.0053482340036014,0.0050982462339796,0.0039241833946763,0.0061221598504273
"baseline+emb_cos_sim,script,script_lr",0.0042051451254105,0.0062191843137254,0.0053691137424969,0.0047904498471902,0.0038217758642786,0.006183045042735
"baseline+emb_cos_sim,script,script_lr,training_script_lr",0.0041972342340997,0.0064767249754901,0.0054052409243697,0.0047438112602694,0.0037739395415708,0.0061818992094017
"baseline+emb_cos_sim,family,script_lr",0.0045998184801433,0.0096522562499999,0.005449983077731,0.0053070164081498,0.0040998483256654,0.0064978117307692
"baseline+emb_cos_sim,family,script_lr,training_script_lr",0.00451646262765,0.0097341361029411,0.0055140575765306,0.0052675264262241,0.0041249177440026,0.0066836151709401
"baseline+emb_cos_sim,script,training_script_lr",0.0042420914556584,0.0064828211274509,0.0055622293082232,0.0047716491225764,0.003835523989484,0.0065068124572649
"baseline+emb_cos_sim,script",0.0042548180770379,0.0063756465196078,0.0055760280657262,0.004744638062767,0.0037813339664804,0.0065130320726495
"baseline+emb_cos_sim,family,training_script_lr",0.0045912371558674,0.0100253579166666,0.0056535674714885,0.0053881124153795,0.0041902082122905,0.006964521068376
"baseline+emb_cos_sim,family",0.0046169879307255,0.0098311453921568,0.0057126116206482,0.0053784208330594,0.0041247994857048,0.0069806471367521
"baseline+emb_cos_sim,script_lr",0.0048743787279785,0.0105106562745098,0.0058327356677671,0.005199953562274,0.0042533095202103,0.0069800487606837
"baseline+emb_cos_sim,script_lr,training_script_lr",0.0047805972126007,0.0105524467892156,0.0058557623469387,0.0051199574038777,0.0041819121623397,0.0069050706410256
"baseline+emb_cos_sim,training_script_lr",0.004858654465512,0.0107275290441176,0.0061279517887154,0.0052398819602366,0.0042385807673348,0.0073694955555555
baseline+emb_cos_sim,0.0048974025544938,0.0107122577696078,0.0061359818742497,0.005227844615511,0.004225673604995,0.0073628435470085
"baseline+family,script,script_lr",0.0044086393380325,0.0041267745588235,0.0073114610695883,0.0036308548209701,0.0028339245408804,0.005273977542735
"baseline+family,script,script_lr,training_script_lr",0.0043268019145313,0.004003976372549,0.0073531106845123,0.0035387705440921,0.0027863334307168,0.0052269935897435
"baseline+family,script,training_script_lr",0.0043170803080642,0.0042992181372549,0.0075341633248157,0.0037508787252419,0.0029362328085072,0.0052983833333333
"baseline+script,script_lr",0.0047004505761498,0.00465777875,0.0075854988458748,0.0034863121307852,0.0029205591040166,0.0052081565811965
"baseline+family,script",0.0043871835521182,0.004220696495098,0.0075909920232038,0.0038159713376523,0.0029725593345821,0.0052827185470085
"baseline+script,script_lr,training_script_lr",0.0046264297870662,0.0046369325735294,0.007598381449686,0.0034164798607113,0.0028629294846655,0.0053018918162393
"baseline+family,script_lr",0.0045188565775855,0.0058797096078431,0.0077407775559089,0.0037914918111348,0.0029887064579244,0.0062530481196581
"baseline+family,script_lr,training_script_lr",0.0044450011528353,0.0058786703186274,0.0077656746200778,0.0037230827966212,0.0029470148993005,0.0063517557264957
baseline+script,0.0047545052886041,0.0049595004411764,0.0077794939304632,0.0036177356326959,0.002933003904618,0.0053136132264957
"baseline+script,training_script_lr",0.004685078566653,0.0049558517892156,0.0077886634147286,0.0034887425339959,0.0028714093544415,0.0053286263888888
"baseline+family,training_script_lr",0.004514738355172,0.0060326399264705,0.0082346822605883,0.0039807939390132,0.0031065288377488,0.006023521068376
baseline+script_lr,0.0051024103912504,0.0060177633578431,0.0082427252176782,0.0040730972019809,0.0034270179284802,0.0061856635470085
baseline+family,0.0045990172595979,0.0059203596813725,0.0082494679099602,0.00406269869177,0.0031492336415427,0.0060657273290598
"baseline+script_lr,training_script_lr",0.0049950181530328,0.0061465576715686,0.0083256888165884,0.0040376096054447,0.0033508919763195,0.0061930788888888
baseline+training_script_lr,0.005133295845365,0.0063128137745098,0.0088195284124541,0.0041549500925369,0.003432445042339,0.0058720643162393
baseline+,0.0052623418484501,0.0063595675245098,0.0088493438495705,0.0042138083766379,0.0034672993027709,0.0057988009188034
